,,,,,,,,,,,,FY 2015 3-YEAR COHORT DEFAULT RATES,,,
21719,AILEY SCHOOL (THE)                                               ,405 WEST 55TH STREET                              ,NEW YORK            ,NY,NEW YORK                                                    ,10019,4402,11,Non-Degree 3 Plus Years (? 2700 hours),2,Nonprofit,2015,16,78,20.5
21727,CONCORDE CAREER INSTITUTE                                        ,4202 WEST SPRUCE                                  ,TAMPA               ,FL,FLORIDA                                                     ,33607,4165,5,Associate's Degree,3,For-Profit,2015,49,404,12.1
21728,DUTCHESS BOCES SCHOOL OF PRACTICAL NURSING                       ,5 BOCES ROAD                                      ,POUGHKEEPSIE        ,NY,NEW YORK                                                    ,12601,6599,3,Non-Degree 1 Year (900-1799 hours),1,Public,2015,8,65,12.3
21732,EMPIRE BEAUTY SCHOOL                                             ,22 WEST 34TH STREET                2ND FLOOR      ,MANHATTAN           ,NY,NEW YORK                                                    ,10001,3010,4,Non-Degree 2 Years (1800-2699 hours),3,For-Profit,2015,217,1593,13.6
21739,ULSTER COUNTY BOCES SCHOOL OF PRACTICAL NURSING                  ,ROUTE 9W                                          ,PORT EWEN           ,NY,NEW YORK                                                    ,12466,0,3,Non-Degree 1 Year (900-1799 hours),1,Public,2015,14,88,15.9
21744,TRIANGLE TECH                                                    ,225 TANNERY ROW ROAD                              ,FALLS CREEK         ,PA,PENNSYLVANIA                                                ,15840,9544,5,Associate's Degree,3,For-Profit,2015,7,168,4.1
21748,MICHAEL'S SCHOOL OF HAIR DESIGN & ESTHETICS PAUL MITCHELL PARTNER,THE BEDFORD MALL                   79-6 SOUTH RIVE,BEDFORD             ,NH,NEW HAMPSHIRE                                               ,3110,0,3,Non-Degree 1 Year (900-1799 hours),3,For-Profit,2015,7,108,6.4
21758,CENTRA COLLEGE OF NURSING                                        ,"905 LAKESIDE DRIVE, SUITE A                       ",LYNCHBURG           ,VA,VIRGINIA                                                    ,24501,1109,6,Bachelor's Degree,2,Nonprofit,2015,3,85,3.5
21760,CHERYL FELL'S SCHOOL OF BUSINESS                                 ,2541 MILITARY ROAD                                ,NIAGARA FALLS       ,NY,NEW YORK                                                    ,14304,1505,3,Non-Degree 1 Year (900-1799 hours),3,For-Profit,2015,24,51,47
21775,RIO SALADO COMMUNITY COLLEGE                                     ,2323 WEST 14TH STREET                             ,TEMPE               ,AZ,ARIZONA                                                     ,85281,6948,5,Associate's Degree,1,Public,2015,837,4098,20.4
21777,UNIVERSITY OF CAMBRIDGE - KING'S COLLEGE                         ,KING'S PARADE                                     ,CAMBRIDGE           ,FC,ENGLAND             ,CB2  , 1ST,8,Master's Degree or Doctor's Degree,5,Foreign Public,2015,0,14,0
21782,CHARLESTON SCHOOL OF BEAUTY CULTURE                              ,210 CAPITOL STREET                                ,CHARLESTON          ,WV,WEST VIRGINIA                                               ,25301,2206,4,Non-Degree 2 Years (1800-2699 hours),3,For-Profit,2015,7,71,9.8
21785,EAGLE GATE COLLEGE                                               ,"5588 SOUTH GREEN STREET, SUITE 150                ",MURRAY              ,UT,UTAH                                                        ,84123,5798,8,Master's Degree or Doctor's Degree,3,For-Profit,2015,104,602,17.2
21789,JOLIE HEALTH AND BEAUTY ACADEMY                                  ,1057A NORTH CHURCH STREET                         ,HAZLETON            ,PA,PENNSYLVANIA                                                ,18202,1465,3,Non-Degree 1 Year (900-1799 hours),3,For-Profit,2015,46,248,18.5
21794,EASTERN SUFFOLK BOCES                                            ,HEALTH SCIENCES @ ADULT ED. CENTER 100 SECOND AVEN,BRENTWOOD           ,NY,NEW YORK                                                    ,11717,0,3,Non-Degree 1 Year (900-1799 hours),1,Public,2015,22,191,11.5
21796,EMPIRE BEAUTY SCHOOLS                                            ,456 HIGH STREET                                   ,SOMERSWORTH         ,NH,NEW HAMPSHIRE                                               ,3878,1592,3,Non-Degree 1 Year (900-1799 hours),3,For-Profit,2015,9,129,6.9
21799,ARGOSY UNIVERSITY                                                ,601 SOUTH LEWIS STREET                            ,ORANGE              ,CA,CALIFORNIA                                                  ,92868,4844,8,Master's Degree or Doctor's Degree,3,For-Profit,2015,3079,19780,15.5
21801,ROSS MEDICAL EDUCATION CENTER                                    ,29429 JOHN R. ROAD                                ,MADISON HEIGHTS     ,MI,MICHIGAN                                                    ,48071,2565,5,Associate's Degree,3,For-Profit,2015,166,748,22.1
21802,METRO BUSINESS COLLEGE                                           ,1732 NORTH KINGSHIGHWAY                           ,CAPE GIRARDEAU      ,MO,MISSOURI                                                    ,63701,3846,5,Associate's Degree,3,For-Profit,2015,68,351,19.3
21805,MIDDLESEX UNIVERSITY                                             ,THE BURROUGHS                      HENDON         ,LONDON              ,FC,ENGLAND             ,NW4 4,BT  ,8,Master's Degree or Doctor's Degree,5,Foreign Public,2015,2,33,6
21816,ROB ROY ACADEMY                                                  ,150 PLEASANT STREET                               ,WORCESTER           ,MA,MASSACHUSETTS                                               ,1609,2038,3,Non-Degree 1 Year (900-1799 hours),3,For-Profit,2015,22,127,17.3
21822,NEW SCHOOL CENTER FOR MEDIA                                      ,14 COMPUTER DRIVE WEST                            ,ALBANY              ,NY,NEW YORK                                                    ,12205,1607,3,Non-Degree 1 Year (900-1799 hours),3,For-Profit,2015,25,78,32
21829,CAMBRIDGE COLLEGE                                                ,500 RUTHERFORD AVENUE                             ,BOSTON              ,MA,MASSACHUSETTS                                               ,2129,1647,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,84,1112,7.5
21830,ORLEANS TECHNICAL COLLEGE                                        ,2770 RED LION ROAD                                ,PHILADELPHIA        ,PA,PENNSYLVANIA                                                ,19114,1014,5,Associate's Degree,2,Nonprofit,2015,21,291,7.2
21836,CAPRI INSTITUTE OF HAIR DESIGN                                   ,660 NORTH MICHIGAN AVENUE                         ,KENILWORTH          ,NJ,NEW JERSEY                                                  ,7033,1042,3,Non-Degree 1 Year (900-1799 hours),3,For-Profit,2015,4,111,3.6
21842,PAROBA COLLEGE OF COSMETOLOGY                                    ,9930 EVERGREEN WAY                 BUILDING Y     ,EVERETT             ,WA,WASHINGTON                                                  ,98204,3210,3,Non-Degree 1 Year (900-1799 hours),3,For-Profit,2015,8,87,9.1
21844,JENKS BEAUTY COLLEGE                                             ,535 WEST MAIN STREET                              ,JENKS               ,OK,OKLAHOMA                                                    ,74037,3750,3,Non-Degree 1 Year (900-1799 hours),3,For-Profit,2015,6,72,8.3
21858,MOLER BARBER COLLEGE                                             ,3815 TELEGRAPH AVENUE                             ,OAKLAND             ,CA,CALIFORNIA                                                  ,94609,5719,3,Non-Degree 1 Year (900-1799 hours),3,For-Profit,2015,6,55,10.9
21860,UNIVERSITY OF CAMBRIDGE - MAGDALENE COLLEGE                      ,MAGDALENE STREET                                  ,CAMBRIDGE           ,FC,ENGLAND             ,CB3  , 0AG,8,Master's Degree or Doctor's Degree,5,Foreign Public,2015,0,5,0
21879,ASHTABULA COUNTY TECHNICAL AND CAREER CAMPUS                     ,1565 STATE ROUTE 167                              ,JEFFERSON           ,OH,OHIO                                                        ,44047,9487,3,Non-Degree 1 Year (900-1799 hours),1,Public,2015,5,87,5.7
21881,NORTHLAND CAREER CENTER                                          ,1801 BRANCH STREET                                ,PLATTE CITY         ,MO,MISSOURI                                                    ,64079,8333,3,Non-Degree 1 Year (900-1799 hours),1,Public,2015,2,30,6.6
21883,PENTECOSTAL THEOLOGICAL SEMINARY                                 ,900 WALKER STREET NORTHEAST                       ,CLEVELAND           ,TN,TENNESSEE                                                   ,37320,3330,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,5,56,8.9
21889,HOBE SOUND BIBLE COLLEGE                                         ,11298 SOUTHEAST GOMEZ AVENUE                      ,HOBE SOUND          ,FL,FLORIDA                                                     ,33455,7734,6,Bachelor's Degree,2,Nonprofit,2015,0,34,0
21890,MID-EAST CAREER AND TECHNOLOGY CENTERS - ADULT EDUCATION         ,400 RICHARDS ROAD                                 ,ZANESVILLE          ,OH,OHIO                                                        ,43701,4600,3,Non-Degree 1 Year (900-1799 hours),1,Public,2015,18,195,9.2
21891,CEM COLLEGE                                                      ,"1206  AND 1207 13TH STREET,        EXTENSION SAN A",SAN JUAN            ,PR,PUERTO RICO                                                 ,926,1931,6,Bachelor's Degree,3,For-Profit,2015,1,252,0.3
21904,SCHILLING - DOUGLAS SCHOOL OF HAIR DESIGN                        ,211 LOUVIERS DRIVE                 SHOPPES AT LOUV,NEWARK              ,DE,DELAWARE                                                    ,19711,0,3,Non-Degree 1 Year (900-1799 hours),3,For-Profit,2015,3,101,2.9
21907,FORTIS COLLEGE                                                   ,555 EAST ALEX BELL ROAD                           ,CENTERVILLE         ,OH,OHIO                                                        ,45459,6120,6,Bachelor's Degree,3,For-Profit,2015,347,2310,15
21916,TORAH TEMIMAH TALMUDICAL SEMINARY                                ,507 OCEAN PARKWAY                                 ,BROOKLYN            ,NY,NEW YORK                                                    ,11218,5913,7,First Professional Degree,2,Nonprofit,2015,0,8,0
21921,BUTLER TECHNOLOGY AND CAREER DEVELOPMENT SCHOOLS                 ,101 JERRY COUCH BOULEVARD                         ,MONROE              ,OH,OHIO                                                        ,45050,2299,3,Non-Degree 1 Year (900-1799 hours),1,Public,2015,29,191,15.1
21922,THOMAS EDISON STATE UNIVERSITY                                   ,111 WEST STATE STREET                             ,TRENTON             ,NJ,NEW JERSEY                                                  ,8608,1176,8,Master's Degree or Doctor's Degree,1,Public,2015,147,2441,6
21924,"MR. JOHN'S SCHOOL OF COSMETOLOGY, ESTHETICS & NAILS              ",1745 EAST ELDORADO                                ,DECATUR             ,IL,ILLINOIS                                                    ,62521,2041,4,Non-Degree 2 Years (1800-2699 hours),3,For-Profit,2015,1,55,1.8
21928,WALNUT HILL COLLEGE                                              ,4207 WALNUT STREET                                ,PHILADELPHIA        ,PA,PENNSYLVANIA                                                ,19104,3596,6,Bachelor's Degree,3,For-Profit,2015,31,215,14.4
21948,"UNIVERSITY OF THE WEST OF ENGLAND, BRISTOL                       ",FRECHAY CAMPUS                     COLDHARBOUR LAN,BRISTOL             ,FC,ENGLAND             ,BS16 ,1QY ,8,Master's Degree or Doctor's Degree,5,Foreign Public,2015,2,17,11.7
21951,UNIVERSITY OF WESTMINSTER                                        ,309 REGENT STREET                                 ,LONDON              ,FC,ENGLAND             ,W1R 8,AL  ,8,Master's Degree or Doctor's Degree,5,Foreign Public,2015,2,35,5.7
21958,LICEO DE ARTE Y TECNOLOGIA                                       ,405 PONCE DE LEON AVENUE           3RD FLOOR      ,SAN JUAN            ,PR,PUERTO RICO                                                 ,918,3429,4,Non-Degree 2 Years (1800-2699 hours),3,For-Profit,2015,41,281,14.5
21963,COLLINS CAREER TECHNICAL CENTER                                  ,11627 STATE ROUTE 243                             ,CHESAPEAKE          ,OH,OHIO                                                        ,45619,7962,4,Non-Degree 2 Years (1800-2699 hours),1,Public,2015,57,280,20.3
